Year,Game,Genre,Original platform,Publisher,HQ Location
2010,Xenoblade Chronicles,Action role-playing,Wii,Nintendo,Japan
2011,Batman: Arkham City,Action-adventure,"PS3,Xbox 360",Warner Bros.,United States
2011,Dark Souls,Action role-playing,"PS3,Xbox 360",Namco Bandai,Japan
2011,The Elder Scrolls V: Skyrim,Action role-playing,"PC,PS3,Xbox 360",Bethesda Softworks,United States
2011,Minecraft,Sandbox,"PC,Mac,Linux",Mojang,Sweden
2011,Portal 2,Puzzle-platform,"PC,PS3,Xbox 360",Valve,United States
2012,Borderlands 2,Action role-playing,"PC,PS3,Xbox 360",2K Games,United States
2012,Dishonored,Stealth,"PC,PS3,Xbox 360",Bethesda Softworks,United States
2012,Far Cry 3,First-person shooter,"PC,PS3,Xbox 360",Ubisoft,France
2012,Fire Emblem Awakening,Tactical role-playing,Nintendo 3DS,Nintendo,Japan
2012,Hotline Miami,Top-down shooter,PC,Devolver Digital,United States
2012,Journey,Adventure,PS3,Sony Computer Entertainment,United States
2012,The Walking Dead,Adventure,"PC,PS3,Xbox 360",Telltale Games,United States
2012,XCOM: Enemy Unknown,Turn-based strategy,"PC,PS3,Xbox 360",2K Games,United States
2013,BioShock Infinite,First-person shooter,"PC,PS3,Xbox 360",2K Games,United States
2013,Dota 2,MOBA,PC,Valve,United States
2013,Grand Theft Auto V,Action-adventure,"PS3,Xbox 360",Rockstar Games,United States
2013,The Last of Us,Action-adventure,PS3,Sony Computer Entertainment,United States
2013,"Papers, Please",Puzzle,"PC,Mac",3909 LLC,Other
2014,Alien: Isolation,Survival horror,"PC,PS3,PS4,Xbox 360,Xbox One",Sega,Japan
2014,Destiny,First-person shooter,"PS3,PS4,Xbox 360,Xbox One",Activision,United States
2014,Hearthstone,Digital collectible card,"PC,Mac",Blizzard Entertainment,United States
2014,Mario Kart 8,Kart racing,Wii U,Nintendo,Japan
2014,Shovel Knight,Platform,"Nintendo 3DS,PC,Wii U",Yacht Club Games,United States
2015,Bloodborne,Action role-playing,PS4,Sony Computer Entertainment,United States
2015,Rocket League,Sports,"PC,PS4",Psyonix,United States
2015,Undertale,Role-playing,"PC,Mac",Toby Fox,Other
2015,The Witcher 3: Wild Hunt,Action role-playing,"PC,PS4,Xbox One",CD Projekt,Poland
2016,Dishonored 2,Stealth,"PC,PS4,Xbox One",Bethesda Softworks,United States
2016,Inside,Puzzle-platform,"Xbox One,PC",Playdead,Other
2016,Overwatch,First-person shooter,"PC,PS4,Xbox One",Blizzard Entertainment,United States
2016,Persona 5,Role-playing,"PS3,PS4",Atlus,Japan
2016,Stardew Valley,Farm life simulation,PC,Chucklefish,United Kingdom
2016,Uncharted 4: A Thief's End,Action-adventure,PS4,Sony Computer Entertainment,United States
2017,Fortnite,Third-person shooter,"PC,Mac,PS4,Xbox One",Epic Games,United States
2017,Hollow Knight,Action-adventure,PC,Team Cherry,Other
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,"Nintendo Switch,Wii U",Nintendo,Japan
2017,Super Mario Odyssey,Platform,Nintendo Switch,Nintendo,Japan
2018,Celeste,Platform,"Linux,Mac,Nintendo Switch,PC,PS4",Maddy Makes Games,Other
2018,God of War,Action-adventure,PS4,Sony Interactive Entertainment,United States
2018,Red Dead Redemption 2,Action-adventure,"PS4,Xbox One",Rockstar Games,United States
2018,Super Smash Bros. Ultimate,Fighting,Nintendo Switch,Nintendo,Japan
2019,Disco Elysium,Role-playing,PC,ZA/UM,Other
2020,Animal Crossing: New Horizons,Life simulation,Nintendo Switch,Nintendo,Japan
2020,Hades,Roguelike,"PC,Mac,Nintendo Switch",Supergiant Games,United States
2022,Elden Ring,Action role-playing,"PC,PS4,PS5,Xbox One,Xbox Series X/S",Bandai Namco,Japan
2023,Baldur's Gate 3,Role-playing,PC,Larian Studios,Other
